#               T,              Va,              az,               q,              Vz,               h,      delta_th_c,       delta_e_c
0.0400, 229.999984741210938, 0.001513745286502, 0.000002207186526, 0.000004955337772, 10000.000000000000000, 1.586866091903041, 0.011978244166955
0.0800, 229.999908447265625, 0.002741184318438, 0.000053318439313, 0.000106654842966, 10000.000000000000000, 1.586920809758550, 0.011915509307310
0.1200, 229.999832153320312, 0.001298671355471, 0.000102568170405, 0.000195158412680, 10000.000000000000000, 1.586921414868185, 0.011856256383564
0.1600, 229.999755859375000, -0.000109650820377, 0.000130664848257, 0.000223090275540, 10000.000000000000000, 1.587996116086556, 0.011808210622199
0.2000, 229.999664306640625, -0.001059216447175, 0.000146898819366, 0.000203070361749, 10000.000000000000000, 1.588797630445930, 0.011761383299565
0.2400, 229.999588012695312, -0.001741082058288, 0.000160656301887, 0.000150538238813, 10000.000000000000000, 1.589491952134820, 0.011698622434300
0.2800, 229.999511718750000, -0.002358791418374, 0.000176439090865, 0.000072095426731, 10000.000000000000000, 1.590022756183847, 0.011659257891145
0.3200, 229.999435424804688, -0.003014402231202, 0.000195914530195, -0.000031483297789, 10000.000000000000000, 1.590438228200098, 0.011604525095710
0.3600, 229.999359130859375, -0.003755524288863, 0.000219326975639, -0.000162853088113, 10000.000000000000000, 1.590819776247418, 0.011541770695786
0.4000, 229.999282836914062, -0.004588882904500, 0.000246840063483, -0.000325539702317, 10000.000000000000000, 1.591236059930709, 0.011493513960978
0.4400, 229.999221801757812, -0.005555246490985, 0.000278604245977, -0.000523824302945, 10000.000000000000000, 1.591729663423929, 0.011440279602248
0.4800, 229.999160766601562, -0.006684084422886, 0.000314270262606, -0.000763705465943, 10000.000000000000000, 1.591747940458687, 0.011378943299149
0.5200, 229.999099731445312, -0.007967160083354, 0.000353660114342, -0.001051513594575, 10000.000000000000000, 1.593013148829681, 0.011327795507467
0.5600, 229.999053955078125, -0.009434240870178, 0.000396771851229, -0.001393850776367, 10000.000000000000000, 1.593802305530299, 0.011291918750954
0.6000, 229.998992919921875, -0.011114604771137, 0.000443286844529, -0.001798537326977, 10000.000000000000000, 1.594682049697528, 0.011231431630259
0.6400, 229.998947143554688, -0.013006428256631, 0.000492692925036, -0.002274292986840, 10000.000000000000000, 1.595645529621634, 0.011202294404841
0.6800, 229.998886108398438, -0.015142699703574, 0.000544623937458, -0.002829970093444, 10000.000000000000000, 1.596684661905376, 0.011163115291211
0.7200, 229.998840332031250, -0.017499696463346, 0.000598606537096, -0.003474960103631, 10000.000000000000000, 1.597790645322697, 0.011100732897809
0.7600, 229.998794555664062, -0.020086601376534, 0.000654373550788, -0.004218481946737, 10000.000976562500000, 1.598954256461759, 0.011060465671699
0.8000, 229.998733520507812, -0.022900136187673, 0.000711926433723, -0.005069404374808, 10000.000976562500000, 1.600167482636301, 0.011041934755059
0.8400, 229.998687744140625, -0.025964541360736, 0.000771071994677, -0.006037135608494, 10000.000976562500000, 1.601425011521825, 0.010984035431400
0.8800, 229.998626708984375, -0.029245946556330, 0.000831543351524, -0.007131348829716, 10000.000976562500000, 1.602722992864224, 0.010974246938695
0.9200, 229.998580932617188, -0.032804708927870, 0.000893235323019, -0.008361474610865, 10000.001953125000000, 1.604058016516552, 0.010934721876209
0.9600, 229.998519897460938, -0.036615930497646, 0.000955228693783, -0.009738568216562, 10000.001953125000000, 1.605426422465531, 0.010906852762402
1.0000, 229.998458862304688, -0.040651232004166, 0.001017428119667, -0.011271956376731, 10000.001953125000000, 1.606820546524525, 0.010874652317500
1.0400, 229.998382568359375, -0.044915877282619, 0.001079739187844, -0.012970793992281, 10000.002929687500000, 1.608232571963256, 0.010843246950458
1.0800, 229.998321533203125, -0.049381110817194, 0.001142310327850, -0.014843607321382, 10000.002929687500000, 1.609657013122046, 0.010812542036586
1.1200, 229.998245239257812, -0.054066315293312, 0.001205291133374, -0.016898769885302, 10000.003906250000000, 1.611092014845024, 0.010775401559387
1.1600, 229.998168945312500, -0.058975033462048, 0.001268471241929, -0.019145248457789, 10000.004882812500000, 1.612538757783892, 0.010729606826184
1.2000, 229.998092651367188, -0.064093016088009, 0.001331686507910, -0.021591773256660, 10000.005859375000000, 1.613998112543437, 0.010700969760545
1.2400, 229.998001098632812, -0.069425009191036, 0.001394909340888, -0.024246634915471, 10000.006835937500000, 1.615469667737705, 0.010664973019241
1.2800, 229.997909545898438, -0.074968963861465, 0.001457863370888, -0.027118429541588, 10000.007812500000000, 1.616952455363185, 0.010669774434479
1.3200, 229.997802734375000, -0.080767579376698, 0.001519893063232, -0.030216261744499, 10000.008789062500000, 1.618444007701755, 0.010643461548529
1.3600, 229.997695922851562, -0.086754016578197, 0.001580055104569, -0.033549461513758, 10000.009765625000000, 1.619937663100549, 0.010585041238488
1.4000, 229.997573852539062, -0.092848911881447, 0.001638860674575, -0.037123996764421, 10000.011718750000000, 1.621422155008796, 0.010592548666906
1.4400, 229.997451782226562, -0.099137760698795, 0.001696882303804, -0.040945287793875, 10000.012695312500000, 1.622891360317369, 0.010535115760858
1.4800, 229.997314453125000, -0.105569995939732, 0.001753414515406, -0.045020926743746, 10000.014648437500000, 1.624346301977952, 0.010510608359758
1.5200, 229.997177124023438, -0.112105011940002, 0.001809233450331, -0.049355212599039, 10000.016601562500000, 1.625787639077722, 0.010518398321039
1.5600, 229.997009277343750, -0.118840284645557, 0.001864087884314, -0.053954150527716, 10000.018554687500000, 1.627219466418159, 0.010494372711694
1.6000, 229.996856689453125, -0.125691279768944, 0.001917238114402, -0.058824390172958, 10000.020507812500000, 1.627435941741901, 0.010470872671176
1.6400, 229.996673583984375, -0.132679477334023, 0.001968529541045, -0.063970997929573, 10000.023437500000000, 1.630061259593527, 0.010416476159691
1.6800, 229.996475219726562, -0.139736786484718, 0.002017876598984, -0.069398425519466, 10000.025390625000000, 1.631463654726188, 0.010425047512884
1.7200, 229.996276855468750, -0.146866872906685, 0.002066211076453, -0.075108684599400, 10000.028320312500000, 1.632848260842841, 0.010391406803813
1.7600, 229.996063232421875, -0.154122129082680, 0.002112962538376, -0.081106394529343, 10000.032226562500000, 1.634217922002819, 0.010380250533940
1.8000, 229.995834350585938, -0.161454990506172, 0.002157762879506, -0.087395392358303, 10000.035156250000000, 1.635574850452199, 0.010358401493328
1.8400, 229.995605468750000, -0.168845012784004, 0.002200539456680, -0.093978501856327, 10000.039062500000000, 1.636917506491888, 0.010336873491195
1.8800, 229.995346069335938, -0.176277101039886, 0.002241421490908, -0.100857675075531, 10000.042968750000000, 1.638243351178840, 0.010315603991272
1.9200, 229.995071411132812, -0.183744162321091, 0.002280533546582, -0.108034461736679, 10000.046875000000000, 1.639551243786368, 0.010266784276706
1.9600, 229.994781494140625, -0.191219568252563, 0.002318019745871, -0.115509942173958, 10000.050781250000000, 1.640842407360034, 0.010273790323633
2.0000, 229.994491577148438, -0.198729887604713, 0.002354235854000, -0.123284474015236, 10000.055664062500000, 1.642119643162078, 0.010253290619825
2.0400, 229.994171142578125, -0.206248998641968, 0.002388968598098, -0.131359204649925, 10000.061523437500000, 1.643387515320967, 0.010233197201028
2.0800, 229.993835449218750, -0.213803380727768, 0.002421961398795, -0.139735087752342, 10000.066406250000000, 1.644649082961190, 0.010213564460862
2.1200, 229.993484497070312, -0.221353158354759, 0.002452921587974, -0.148412764072418, 10000.072265625000000, 1.645904164395155, 0.010194399636867
2.1600, 229.993118286132812, -0.228882685303688, 0.002481952775270, -0.157391697168350, 10000.078125000000000, 1.647149809477504, 0.010175612303352
2.2000, 229.992736816406250, -0.236385270953178, 0.002509180689231, -0.166670948266983, 10000.084960937500000, 1.648383732266854, 0.010157151994855
2.2400, 229.992340087890625, -0.243854939937592, 0.002534677274525, -0.176249340176582, 10000.091796875000000, 1.649605651837724, 0.010139015483122
2.2800, 229.991912841796875, -0.251284927129745, 0.002558477921411, -0.186125397682190, 10000.098632812500000, 1.650816852778576, 0.010121224206243
2.3200, 229.991485595703125, -0.258667141199112, 0.002580602420494, -0.196297422051430, 10000.106445312500000, 1.652019130057787, 0.010103806545432
2.3600, 229.991027832031250, -0.265985757112503, 0.002601202577353, -0.206763103604317, 10000.114257812500000, 1.653214191135460, 0.010075245696957
2.4000, 229.990539550781250, -0.273249357938766, 0.002620268380269, -0.217520236968994, 10000.123046875000000, 1.654403917396811, 0.010070186701289
2.4400, 229.990051269531250, -0.280453741550446, 0.002637793775648, -0.228566303849220, 10000.131835937500000, 1.655590469388319, 0.010054057979660
2.4800, 229.989532470703125, -0.287589311599731, 0.002653591334820, -0.239898905158043, 10000.141601562500000, 1.656775045592155, 0.010038417533021
